0 0 ['38d2m42s', '111d3m31s'] ['38d2m42s', '111d0m0s'] ['38d0m0s', '111d3m31s'] ['38d0m0s', '111d0m0s'] 1970
165 21 ['38d59m24s', '120d43m46s'] ['38d59m24s', '120d40m15s'] ['38d56m42s', '120d43m46s'] ['38d56m42s', '120d40m15s'] 1294
166 21 ['38d59m24s', '120d47m17s'] ['38d59m24s', '120d43m46s'] ['38d56m42s', '120d47m17s'] ['38d56m42s', '120d43m46s'] 1104
167 21 ['38d59m24s', '120d50m48s'] ['38d59m24s', '120d47m17s'] ['38d56m42s', '120d50m48s'] ['38d56m42s', '120d47m17s'] 1022
168 21 ['38d59m24s', '120d54m19s'] ['38d59m24s', '120d50m48s'] ['38d56m42s', '120d54m19s'] ['38d56m42s', '120d50m48s'] 853
169 21 ['38d59m24s', '120d57m50s'] ['38d59m24s', '120d54m19s'] ['38d56m42s', '120d57m50s'] ['38d56m42s', '120d54m19s'] 763
170 21 ['38d59m24s', '121d1m21s'] ['38d59m24s', '120d57m50s'] ['38d56m42s', '121d1m21s'] ['38d56m42s', '120d57m50s'] 634
171 21 ['38d59m24s', '121d4m52s'] ['38d59m24s', '121d1m21s'] ['38d56m42s', '121d4m52s'] ['38d56m42s', '121d1m21s'] 645
172 21 ['38d59m24s', '121d8m23s'] ['38d59m24s', '121d4m52s'] ['38d56m42s', '121d8m23s'] ['38d56m42s', '121d4m52s'] 513
173 21 ['38d59m24s', '121d11m54s'] ['38d59m24s', '121d8m23s'] ['38d56m42s', '121d11m54s'] ['38d56m42s', '121d8m23s'] 494
174 21 ['38d59m24s', '121d15m25s'] ['38d59m24s', '121d11m54s'] ['38d56m42s', '121d15m25s'] ['38d56m42s', '121d11m54s'] 282
175 21 ['38d59m24s', '121d18m56s'] ['38d59m24s', '121d15m25s'] ['38d56m42s', '121d18m56s'] ['38d56m42s', '121d15m25s'] 140
176 21 ['38d59m24s', '121d22m27s'] ['38d59m24s', '121d18m56s'] ['38d56m42s', '121d22m27s'] ['38d56m42s', '121d18m56s'] 61
177 21 ['38d59m24s', '121d25m58s'] ['38d59m24s', '121d22m27s'] ['38d56m42s', '121d25m58s'] ['38d56m42s', '121d22m27s'] 45
178 21 ['38d59m24s', '121d29m29s'] ['38d59m24s', '121d25m58s'] ['38d56m42s', '121d29m29s'] ['38d56m42s', '121d25m58s'] 35
179 21 ['38d59m24s', '121d33m0s'] ['38d59m24s', '121d29m29s'] ['38d56m42s', '121d33m0s'] ['38d56m42s', '121d29m29s'] 28
180 21 ['38d59m24s', '121d36m31s'] ['38d59m24s', '121d33m0s'] ['38d56m42s', '121d36m31s'] ['38d56m42s', '121d33m0s'] 21
181 21 ['38d59m24s', '121d40m2s'] ['38d59m24s', '121d36m31s'] ['38d56m42s', '121d40m2s'] ['38d56m42s', '121d36m31s'] 21
182 21 ['38d59m24s', '121d43m33s'] ['38d59m24s', '121d40m2s'] ['38d56m42s', '121d43m33s'] ['38d56m42s', '121d40m2s'] 24
183 21 ['38d59m24s', '121d47m4s'] ['38d59m24s', '121d43m33s'] ['38d56m42s', '121d47m4s'] ['38d56m42s', '121d43m33s'] 16
184 21 ['38d59m24s', '121d50m35s'] ['38d59m24s', '121d47m4s'] ['38d56m42s', '121d50m35s'] ['38d56m42s', '121d47m4s'] 24
185 21 ['38d59m24s', '121d54m6s'] ['38d59m24s', '121d50m35s'] ['38d56m42s', '121d54m6s'] ['38d56m42s', '121d50m35s'] 22
186 21 ['38d59m24s', '121d57m37s'] ['38d59m24s', '121d54m6s'] ['38d56m42s', '121d57m37s'] ['38d56m42s', '121d54m6s'] 22
187 21 ['38d59m24s', '122d1m8s'] ['38d59m24s', '121d57m37s'] ['38d56m42s', '122d1m8s'] ['38d56m42s', '121d57m37s'] 49
188 21 ['38d59m24s', '122d4m39s'] ['38d59m24s', '122d1m8s'] ['38d56m42s', '122d4m39s'] ['38d56m42s', '122d1m8s'] 99
189 21 ['38d59m24s', '122d8m10s'] ['38d59m24s', '122d4m39s'] ['38d56m42s', '122d8m10s'] ['38d56m42s', '122d4m39s'] 222
190 21 ['38d59m24s', '122d11m41s'] ['38d59m24s', '122d8m10s'] ['38d56m42s', '122d11m41s'] ['38d56m42s', '122d8m10s'] 387
191 21 ['38d59m24s', '122d15m12s'] ['38d59m24s', '122d11m41s'] ['38d56m42s', '122d15m12s'] ['38d56m42s', '122d11m41s'] 387
192 21 ['38d59m24s', '122d18m43s'] ['38d59m24s', '122d15m12s'] ['38d56m42s', '122d18m43s'] ['38d56m42s', '122d15m12s'] 727
193 21 ['38d59m24s', '122d22m14s'] ['38d59m24s', '122d18m43s'] ['38d56m42s', '122d22m14s'] ['38d56m42s', '122d18m43s'] 844
194 21 ['38d59m24s', '122d25m45s'] ['38d59m24s', '122d22m14s'] ['38d56m42s', '122d25m45s'] ['38d56m42s', '122d22m14s'] 663
195 21 ['38d59m24s', '122d29m16s'] ['38d59m24s', '122d25m45s'] ['38d56m42s', '122d29m16s'] ['38d56m42s', '122d25m45s'] 732
196 21 ['38d59m24s', '122d32m47s'] ['38d59m24s', '122d29m16s'] ['38d56m42s', '122d32m47s'] ['38d56m42s', '122d29m16s'] 796
197 21 ['38d59m24s', '122d36m18s'] ['38d59m24s', '122d32m47s'] ['38d56m42s', '122d36m18s'] ['38d56m42s', '122d32m47s'] 686
198 21 ['38d59m24s', '122d39m49s'] ['38d59m24s', '122d36m18s'] ['38d56m42s', '122d39m49s'] ['38d56m42s', '122d36m18s'] 668
199 21 ['38d59m24s', '122d43m20s'] ['38d59m24s', '122d39m49s'] ['38d56m42s', '122d43m20s'] ['38d56m42s', '122d39m49s'] 614
200 21 ['38d59m24s', '122d46m51s'] ['38d59m24s', '122d43m20s'] ['38d56m42s', '122d46m51s'] ['38d56m42s', '122d43m20s'] 1307
201 21 ['38d59m24s', '122d50m22s'] ['38d59m24s', '122d46m51s'] ['38d56m42s', '122d50m22s'] ['38d56m42s', '122d46m51s'] 1102
202 21 ['38d59m24s', '122d53m53s'] ['38d59m24s', '122d50m22s'] ['38d56m42s', '122d53m53s'] ['38d56m42s', '122d50m22s'] 500
203 21 ['38d59m24s', '122d57m24s'] ['38d59m24s', '122d53m53s'] ['38d56m42s', '122d57m24s'] ['38d56m42s', '122d53m53s'] 679
204 21 ['38d59m24s', '123d0m55s'] ['38d59m24s', '122d57m24s'] ['38d56m42s', '123d0m55s'] ['38d56m42s', '122d57m24s'] 891
205 21 ['38d59m24s', '123d4m26s'] ['38d59m24s', '123d0m55s'] ['38d56m42s', '123d4m26s'] ['38d56m42s', '123d0m55s'] 780
206 21 ['38d59m24s', '123d7m57s'] ['38d59m24s', '123d4m26s'] ['38d56m42s', '123d7m57s'] ['38d56m42s', '123d4m26s'] 478
207 21 ['38d59m24s', '123d11m28s'] ['38d59m24s', '123d7m57s'] ['38d56m42s', '123d11m28s'] ['38d56m42s', '123d7m57s'] 791
208 21 ['38d59m24s', '123d14m59s'] ['38d59m24s', '123d11m28s'] ['38d56m42s', '123d14m59s'] ['38d56m42s', '123d11m28s'] 1022
209 21 ['38d59m24s', '123d18m30s'] ['38d59m24s', '123d14m59s'] ['38d56m42s', '123d18m30s'] ['38d56m42s', '123d14m59s'] 973
210 21 ['38d59m24s', '123d22m1s'] ['38d59m24s', '123d18m30s'] ['38d56m42s', '123d22m1s'] ['38d56m42s', '123d18m30s'] 614
211 21 ['38d59m24s', '123d25m32s'] ['38d59m24s', '123d22m1s'] ['38d56m42s', '123d25m32s'] ['38d56m42s', '123d22m1s'] 611
212 21 ['38d59m24s', '123d29m3s'] ['38d59m24s', '123d25m32s'] ['38d56m42s', '123d29m3s'] ['38d56m42s', '123d25m32s'] 813
213 21 ['38d59m24s', '123d32m34s'] ['38d59m24s', '123d29m3s'] ['38d56m42s', '123d32m34s'] ['38d56m42s', '123d29m3s'] 715
214 21 ['38d59m24s', '123d36m5s'] ['38d59m24s', '123d32m34s'] ['38d56m42s', '123d36m5s'] ['38d56m42s', '123d32m34s'] 705
215 21 ['38d59m24s', '123d39m36s'] ['38d59m24s', '123d36m5s'] ['38d56m42s', '123d39m36s'] ['38d56m42s', '123d36m5s'] 647
216 21 ['38d59m24s', '123d43m7s'] ['38d59m24s', '123d39m36s'] ['38d56m42s', '123d43m7s'] ['38d56m42s', '123d39m36s'] 269
217 21 ['38d59m24s', '123d46m38s'] ['38d59m24s', '123d43m7s'] ['38d56m42s', '123d46m38s'] ['38d56m42s', '123d43m7s'] 26
218 21 ['38d59m24s', '123d50m9s'] ['38d59m24s', '123d46m38s'] ['38d56m42s', '123d50m9s'] ['38d56m42s', '123d46m38s'] 0
219 21 ['38d59m24s', '123d53m40s'] ['38d59m24s', '123d50m9s'] ['38d56m42s', '123d53m40s'] ['38d56m42s', '123d50m9s'] 0
220 21 ['38d59m24s', '123d57m11s'] ['38d59m24s', '123d53m40s'] ['38d56m42s', '123d57m11s'] ['38d56m42s', '123d53m40s'] 0
221 21 ['38d59m24s', '124d0m42s'] ['38d59m24s', '123d57m11s'] ['38d56m42s', '124d0m42s'] ['38d56m42s', '123d57m11s'] 0
222 21 ['38d59m24s', '124d4m13s'] ['38d59m24s', '124d0m42s'] ['38d56m42s', '124d4m13s'] ['38d56m42s', '124d0m42s'] 0
223 21 ['38d59m24s', '124d7m44s'] ['38d59m24s', '124d4m13s'] ['38d56m42s', '124d7m44s'] ['38d56m42s', '124d4m13s'] 0
224 21 ['38d59m24s', '124d11m15s'] ['38d59m24s', '124d7m44s'] ['38d56m42s', '124d11m15s'] ['38d56m42s', '124d7m44s'] 0
225 21 ['38d59m24s', '124d14m46s'] ['38d59m24s', '124d11m15s'] ['38d56m42s', '124d14m46s'] ['38d56m42s', '124d11m15s'] 0
226 21 ['38d59m24s', '124d18m17s'] ['38d59m24s', '124d14m46s'] ['38d56m42s', '124d18m17s'] ['38d56m42s', '124d14m46s'] 0
227 21 ['38d59m24s', '124d21m48s'] ['38d59m24s', '124d18m17s'] ['38d56m42s', '124d21m48s'] ['38d56m42s', '124d18m17s'] 0
228 21 ['38d59m24s', '124d25m19s'] ['38d59m24s', '124d21m48s'] ['38d56m42s', '124d25m19s'] ['38d56m42s', '124d21m48s'] 0
229 21 ['38d59m24s', '124d28m50s'] ['38d59m24s', '124d25m19s'] ['38d56m42s', '124d28m50s'] ['38d56m42s', '124d25m19s'] 0
230 21 ['38d59m24s', '124d32m21s'] ['38d59m24s', '124d28m50s'] ['38d56m42s', '124d32m21s'] ['38d56m42s', '124d28m50s'] 0
231 21 ['38d59m24s', '124d35m52s'] ['38d59m24s', '124d32m21s'] ['38d56m42s', '124d35m52s'] ['38d56m42s', '124d32m21s'] 0
232 21 ['38d59m24s', '124d39m23s'] ['38d59m24s', '124d35m52s'] ['38d56m42s', '124d39m23s'] ['38d56m42s', '124d35m52s'] 0
233 21 ['38d59m24s', '124d42m54s'] ['38d59m24s', '124d39m23s'] ['38d56m42s', '124d42m54s'] ['38d56m42s', '124d39m23s'] 0
234 21 ['38d59m24s', '124d46m25s'] ['38d59m24s', '124d42m54s'] ['38d56m42s', '124d46m25s'] ['38d56m42s', '124d42m54s'] 0
235 21 ['38d59m24s', '124d49m56s'] ['38d59m24s', '124d46m25s'] ['38d56m42s', '124d49m56s'] ['38d56m42s', '124d46m25s'] 0
236 21 ['38d59m24s', '124d53m27s'] ['38d59m24s', '124d49m56s'] ['38d56m42s', '124d53m27s'] ['38d56m42s', '124d49m56s'] 0
237 21 ['38d59m24s', '124d56m58s'] ['38d59m24s', '124d53m27s'] ['38d56m42s', '124d56m58s'] ['38d56m42s', '124d53m27s'] 0
238 21 ['38d59m24s', '125d0m29s'] ['38d59m24s', '124d56m58s'] ['38d56m42s', '125d0m29s'] ['38d56m42s', '124d56m58s'] 0
239 21 ['38d59m24s', '125d4m0s'] ['38d59m24s', '125d0m29s'] ['38d56m42s', '125d4m0s'] ['38d56m42s', '125d0m29s'] 0
0 22 ['39d2m6s', '111d3m31s'] ['39d2m6s', '111d0m0s'] ['38d59m24s', '111d3m31s'] ['38d59m24s', '111d0m0s'] 1985
1 22 ['39d2m6s', '111d7m2s'] ['39d2m6s', '111d3m31s'] ['38d59m24s', '111d7m2s'] ['38d59m24s', '111d3m31s'] 1996
2 22 ['39d2m6s', '111d10m33s'] ['39d2m6s', '111d7m2s'] ['38d59m24s', '111d10m33s'] ['38d59m24s', '111d7m2s'] 2076
3 22 ['39d2m6s', '111d14m4s'] ['39d2m6s', '111d10m33s'] ['38d59m24s', '111d14m4s'] ['38d59m24s', '111d10m33s'] 2725
4 22 ['39d2m6s', '111d17m35s'] ['39d2m6s', '111d14m4s'] ['38d59m24s', '111d17m35s'] ['38d59m24s', '111d14m4s'] 2745
5 22 ['39d2m6s', '111d21m6s'] ['39d2m6s', '111d17m35s'] ['38d59m24s', '111d21m6s'] ['38d59m24s', '111d17m35s'] 2718
6 22 ['39d2m6s', '111d24m37s'] ['39d2m6s', '111d21m6s'] ['38d59m24s', '111d24m37s'] ['38d59m24s', '111d21m6s'] 2847
7 22 ['39d2m6s', '111d28m8s'] ['39d2m6s', '111d24m37s'] ['38d59m24s', '111d28m8s'] ['38d59m24s', '111d24m37s'] 3300
8 22 ['39d2m6s', '111d31m39s'] ['39d2m6s', '111d28m8s'] ['38d59m24s', '111d31m39s'] ['38d59m24s', '111d28m8s'] 3306
9 22 ['39d2m6s', '111d35m10s'] ['39d2m6s', '111d31m39s'] ['38d59m24s', '111d35m10s'] ['38d59m24s', '111d31m39s'] 3261
10 22 ['39d2m6s', '111d38m41s'] ['39d2m6s', '111d35m10s'] ['38d59m24s', '111d38m41s'] ['38d59m24s', '111d35m10s'] 3154
11 22 ['39d2m6s', '111d42m12s'] ['39d2m6s', '111d38m41s'] ['38d59m24s', '111d42m12s'] ['38d59m24s', '111d38m41s'] 2666
12 22 ['39d2m6s', '111d45m43s'] ['39d2m6s', '111d42m12s'] ['38d59m24s', '111d45m43s'] ['38d59m24s', '111d42m12s'] 2345
13 22 ['39d2m6s', '111d49m14s'] ['39d2m6s', '111d45m43s'] ['38d59m24s', '111d49m14s'] ['38d59m24s', '111d45m43s'] 1850
14 22 ['39d2m6s', '111d52m45s'] ['39d2m6s', '111d49m14s'] ['38d59m24s', '111d52m45s'] ['38d59m24s', '111d49m14s'] 1662
15 22 ['39d2m6s', '111d56m16s'] ['39d2m6s', '111d52m45s'] ['38d59m24s', '111d56m16s'] ['38d59m24s', '111d52m45s'] 1833
16 22 ['39d2m6s', '111d59m47s'] ['39d2m6s', '111d56m16s'] ['38d59m24s', '111d59m47s'] ['38d59m24s', '111d56m16s'] 2297
17 22 ['39d2m6s', '112d3m18s'] ['39d2m6s', '111d59m47s'] ['38d59m24s', '112d3m18s'] ['38d59m24s', '111d59m47s'] 2300
18 22 ['39d2m6s', '112d6m49s'] ['39d2m6s', '112d3m18s'] ['38d59m24s', '112d6m49s'] ['38d59m24s', '112d3m18s'] 2764
19 22 ['39d2m6s', '112d10m20s'] ['39d2m6s', '112d6m49s'] ['38d59m24s', '112d10m20s'] ['38d59m24s', '112d6m49s'] 3068
20 22 ['39d2m6s', '112d13m51s'] ['39d2m6s', '112d10m20s'] ['38d59m24s', '112d13m51s'] ['38d59m24s', '112d10m20s'] 3079
21 22 ['39d2m6s', '112d17m22s'] ['39d2m6s', '112d13m51s'] ['38d59m24s', '112d17m22s'] ['38d59m24s', '112d13m51s'] 2123
22 22 ['39d2m6s', '112d20m53s'] ['39d2m6s', '112d17m22s'] ['38d59m24s', '112d20m53s'] ['38d59m24s', '112d17m22s'] 1704
23 22 ['39d2m6s', '112d24m24s'] ['39d2m6s', '112d20m53s'] ['38d59m24s', '112d24m24s'] ['38d59m24s', '112d20m53s'] 1564
24 22 ['39d2m6s', '112d27m55s'] ['39d2m6s', '112d24m24s'] ['38d59m24s', '112d27m55s'] ['38d59m24s', '112d24m24s'] 1505
25 22 ['39d2m6s', '112d31m26s'] ['39d2m6s', '112d27m55s'] ['38d59m24s', '112d31m26s'] ['38d59m24s', '112d27m55s'] 1438
26 22 ['39d2m6s', '112d34m57s'] ['39d2m6s', '112d31m26s'] ['38d59m24s', '112d34m57s'] ['38d59m24s', '112d31m26s'] 1448
27 22 ['39d2m6s', '112d38m28s'] ['39d2m6s', '112d34m57s'] ['38d59m24s', '112d38m28s'] ['38d59m24s', '112d34m57s'] 1434
28 22 ['39d2m6s', '112d41m59s'] ['39d2m6s', '112d38m28s'] ['38d59m24s', '112d41m59s'] ['38d59m24s', '112d38m28s'] 1428
29 22 ['39d2m6s', '112d45m30s'] ['39d2m6s', '112d41m59s'] ['38d59m24s', '112d45m30s'] ['38d59m24s', '112d41m59s'] 1428
30 22 ['39d2m6s', '112d49m1s'] ['39d2m6s', '112d45m30s'] ['38d59m24s', '112d49m1s'] ['38d59m24s', '112d45m30s'] 1454
31 22 ['39d2m6s', '112d52m32s'] ['39d2m6s', '112d49m1s'] ['38d59m24s', '112d52m32s'] ['38d59m24s', '112d49m1s'] 1730
32 22 ['39d2m6s', '112d56m3s'] ['39d2m6s', '112d52m32s'] ['38d59m24s', '112d56m3s'] ['38d59m24s', '112d52m32s'] 2007
33 22 ['39d2m6s', '112d59m34s'] ['39d2m6s', '112d56m3s'] ['38d59m24s', '112d59m34s'] ['38d59m24s', '112d56m3s'] 2067
34 22 ['39d2m6s', '113d3m5s'] ['39d2m6s', '112d59m34s'] ['38d59m24s', '113d3m5s'] ['38d59m24s', '112d59m34s'] 1547
35 22 ['39d2m6s', '113d6m36s'] ['39d2m6s', '113d3m5s'] ['38d59m24s', '113d6m36s'] ['38d59m24s', '113d3m5s'] 1393
36 22 ['39d2m6s', '113d10m7s'] ['39d2m6s', '113d6m36s'] ['38d59m24s', '113d10m7s'] ['38d59m24s', '113d6m36s'] 0
37 22 ['39d2m6s', '113d13m38s'] ['39d2m6s', '113d10m7s'] ['38d59m24s', '113d13m38s'] ['38d59m24s', '113d10m7s'] 1429
38 22 ['39d2m6s', '113d17m9s'] ['39d2m6s', '113d13m38s'] ['38d59m24s', '113d17m9s'] ['38d59m24s', '113d13m38s'] 1583
39 22 ['39d2m6s', '113d20m40s'] ['39d2m6s', '113d17m9s'] ['38d59m24s', '113d20m40s'] ['38d59m24s', '113d17m9s'] 1659
40 22 ['39d2m6s', '113d24m11s'] ['39d2m6s', '113d20m40s'] ['38d59m24s', '113d24m11s'] ['38d59m24s', '113d20m40s'] 1721
41 22 ['39d2m6s', '113d27m42s'] ['39d2m6s', '113d24m11s'] ['38d59m24s', '113d27m42s'] ['38d59m24s', '113d24m11s'] 1888
42 22 ['39d2m6s', '113d31m13s'] ['39d2m6s', '113d27m42s'] ['38d59m24s', '113d31m13s'] ['38d59m24s', '113d27m42s'] 2538
43 22 ['39d2m6s', '113d34m44s'] ['39d2m6s', '113d31m13s'] ['38d59m24s', '113d34m44s'] ['38d59m24s', '113d31m13s'] 2504
44 22 ['39d2m6s', '113d38m15s'] ['39d2m6s', '113d34m44s'] ['38d59m24s', '113d38m15s'] ['38d59m24s', '113d34m44s'] 2366
45 22 ['39d2m6s', '113d41m46s'] ['39d2m6s', '113d38m15s'] ['38d59m24s', '113d41m46s'] ['38d59m24s', '113d38m15s'] 2330
46 22 ['39d2m6s', '113d45m17s'] ['39d2m6s', '113d41m46s'] ['38d59m24s', '113d45m17s'] ['38d59m24s', '113d41m46s'] 1760
47 22 ['39d2m6s', '113d48m48s'] ['39d2m6s', '113d45m17s'] ['38d59m24s', '113d48m48s'] ['38d59m24s', '113d45m17s'] 1637
48 22 ['39d2m6s', '113d52m19s'] ['39d2m6s', '113d48m48s'] ['38d59m24s', '113d52m19s'] ['38d59m24s', '113d48m48s'] 1592
49 22 ['39d2m6s', '113d55m50s'] ['39d2m6s', '113d52m19s'] ['38d59m24s', '113d55m50s'] ['38d59m24s', '113d52m19s'] 1555
50 22 ['39d2m6s', '113d59m21s'] ['39d2m6s', '113d55m50s'] ['38d59m24s', '113d59m21s'] ['38d59m24s', '113d55m50s'] 1564
51 22 ['39d2m6s', '114d2m52s'] ['39d2m6s', '113d59m21s'] ['38d59m24s', '114d2m52s'] ['38d59m24s', '113d59m21s'] 1576
52 22 ['39d2m6s', '114d6m23s'] ['39d2m6s', '114d2m52s'] ['38d59m24s', '114d6m23s'] ['38d59m24s', '114d2m52s'] 1615
53 22 ['39d2m6s', '114d9m54s'] ['39d2m6s', '114d6m23s'] ['38d59m24s', '114d9m54s'] ['38d59m24s', '114d6m23s'] 1846
54 22 ['39d2m6s', '114d13m25s'] ['39d2m6s', '114d9m54s'] ['38d59m24s', '114d13m25s'] ['38d59m24s', '114d9m54s'] 2212
55 22 ['39d2m6s', '114d16m56s'] ['39d2m6s', '114d13m25s'] ['38d59m24s', '114d16m56s'] ['38d59m24s', '114d13m25s'] 3500
56 22 ['39d2m6s', '114d20m27s'] ['39d2m6s', '114d16m56s'] ['38d59m24s', '114d20m27s'] ['38d59m24s', '114d16m56s'] 3807
57 22 ['39d2m6s', '114d23m58s'] ['39d2m6s', '114d20m27s'] ['38d59m24s', '114d23m58s'] ['38d59m24s', '114d20m27s'] 3025
58 22 ['39d2m6s', '114d27m29s'] ['39d2m6s', '114d23m58s'] ['38d59m24s', '114d27m29s'] ['38d59m24s', '114d23m58s'] 2107
59 22 ['39d2m6s', '114d31m0s'] ['39d2m6s', '114d27m29s'] ['38d59m24s', '114d31m0s'] ['38d59m24s', '114d27m29s'] 1822
60 22 ['39d2m6s', '114d34m31s'] ['39d2m6s', '114d31m0s'] ['38d59m24s', '114d34m31s'] ['38d59m24s', '114d31m0s'] 1963
61 22 ['39d2m6s', '114d38m2s'] ['39d2m6s', '114d34m31s'] ['38d59m24s', '114d38m2s'] ['38d59m24s', '114d34m31s'] 2467
62 22 ['39d2m6s', '114d41m33s'] ['39d2m6s', '114d38m2s'] ['38d59m24s', '114d41m33s'] ['38d59m24s', '114d38m2s'] 2704
63 22 ['39d2m6s', '114d45m4s'] ['39d2m6s', '114d41m33s'] ['38d59m24s', '114d45m4s'] ['38d59m24s', '114d41m33s'] 2290
64 22 ['39d2m6s', '114d48m35s'] ['39d2m6s', '114d45m4s'] ['38d59m24s', '114d48m35s'] ['38d59m24s', '114d45m4s'] 2111
65 22 ['39d2m6s', '114d52m6s'] ['39d2m6s', '114d48m35s'] ['38d59m24s', '114d52m6s'] ['38d59m24s', '114d48m35s'] 2351
66 22 ['39d2m6s', '114d55m37s'] ['39d2m6s', '114d52m6s'] ['38d59m24s', '114d55m37s'] ['38d59m24s', '114d52m6s'] 3019
67 22 ['39d2m6s', '114d59m8s'] ['39d2m6s', '114d55m37s'] ['38d59m24s', '114d59m8s'] ['38d59m24s', '114d55m37s'] 2764
68 22 ['39d2m6s', '115d2m39s'] ['39d2m6s', '114d59m8s'] ['38d59m24s', '115d2m39s'] ['38d59m24s', '114d59m8s'] 1914
69 22 ['39d2m6s', '115d6m10s'] ['39d2m6s', '115d2m39s'] ['38d59m24s', '115d6m10s'] ['38d59m24s', '115d2m39s'] 1876
70 22 ['39d2m6s', '115d9m41s'] ['39d2m6s', '115d6m10s'] ['38d59m24s', '115d9m41s'] ['38d59m24s', '115d6m10s'] 2072
71 22 ['39d2m6s', '115d13m12s'] ['39d2m6s', '115d9m41s'] ['38d59m24s', '115d13m12s'] ['38d59m24s', '115d9m41s'] 2148
72 22 ['39d2m6s', '115d16m43s'] ['39d2m6s', '115d13m12s'] ['38d59m24s', '115d16m43s'] ['38d59m24s', '115d13m12s'] 2170
73 22 ['39d2m6s', '115d20m14s'] ['39d2m6s', '115d16m43s'] ['38d59m24s', '115d20m14s'] ['38d59m24s', '115d16m43s'] 2533
74 22 ['39d2m6s', '115d23m45s'] ['39d2m6s', '115d20m14s'] ['38d59m24s', '115d23m45s'] ['38d59m24s', '115d20m14s'] 2593
75 22 ['39d2m6s', '115d27m16s'] ['39d2m6s', '115d23m45s'] ['38d59m24s', '115d27m16s'] ['38d59m24s', '115d23m45s'] 3055
76 22 ['39d2m6s', '115d30m47s'] ['39d2m6s', '115d27m16s'] ['38d59m24s', '115d30m47s'] ['38d59m24s', '115d27m16s'] 2623
77 22 ['39d2m6s', '115d34m18s'] ['39d2m6s', '115d30m47s'] ['38d59m24s', '115d34m18s'] ['38d59m24s', '115d30m47s'] 2278
78 22 ['39d2m6s', '115d37m49s'] ['39d2m6s', '115d34m18s'] ['38d59m24s', '115d37m49s'] ['38d59m24s', '115d34m18s'] 1844
79 22 ['39d2m6s', '115d41m20s'] ['39d2m6s', '115d37m49s'] ['38d59m24s', '115d41m20s'] ['38d59m24s', '115d37m49s'] 1990
80 22 ['39d2m6s', '115d44m51s'] ['39d2m6s', '115d41m20s'] ['38d59m24s', '115d44m51s'] ['38d59m24s', '115d41m20s'] 1824
81 22 ['39d2m6s', '115d48m22s'] ['39d2m6s', '115d44m51s'] ['38d59m24s', '115d48m22s'] ['38d59m24s', '115d44m51s'] 2102
82 22 ['39d2m6s', '115d51m53s'] ['39d2m6s', '115d48m22s'] ['38d59m24s', '115d51m53s'] ['38d59m24s', '115d48m22s'] 2364
83 22 ['39d2m6s', '115d55m24s'] ['39d2m6s', '115d51m53s'] ['38d59m24s', '115d55m24s'] ['38d59m24s', '115d51m53s'] 2626
84 22 ['39d2m6s', '115d58m55s'] ['39d2m6s', '115d55m24s'] ['38d59m24s', '115d58m55s'] ['38d59m24s', '115d55m24s'] 2708
85 22 ['39d2m6s', '116d2m26s'] ['39d2m6s', '115d58m55s'] ['38d59m24s', '116d2m26s'] ['38d59m24s', '115d58m55s'] 2218
86 22 ['39d2m6s', '116d5m57s'] ['39d2m6s', '116d2m26s'] ['38d59m24s', '116d5m57s'] ['38d59m24s', '116d2m26s'] 2049
87 22 ['39d2m6s', '116d9m28s'] ['39d2m6s', '116d5m57s'] ['38d59m24s', '116d9m28s'] ['38d59m24s', '116d5m57s'] 2186
88 22 ['39d2m6s', '116d12m59s'] ['39d2m6s', '116d9m28s'] ['38d59m24s', '116d12m59s'] ['38d59m24s', '116d9m28s'] 2410
89 22 ['39d2m6s', '116d16m30s'] ['39d2m6s', '116d12m59s'] ['38d59m24s', '116d16m30s'] ['38d59m24s', '116d12m59s'] 2734
90 22 ['39d2m6s', '116d20m1s'] ['39d2m6s', '116d16m30s'] ['38d59m24s', '116d20m1s'] ['38d59m24s', '116d16m30s'] 2479
91 22 ['39d2m6s', '116d23m32s'] ['39d2m6s', '116d20m1s'] ['38d59m24s', '116d23m32s'] ['38d59m24s', '116d20m1s'] 2704
92 22 ['39d2m6s', '116d27m3s'] ['39d2m6s', '116d23m32s'] ['38d59m24s', '116d27m3s'] ['38d59m24s', '116d23m32s'] 2827
93 22 ['39d2m6s', '116d30m34s'] ['39d2m6s', '116d27m3s'] ['38d59m24s', '116d30m34s'] ['38d59m24s', '116d27m3s'] 2968
94 22 ['39d2m6s', '116d34m5s'] ['39d2m6s', '116d30m34s'] ['38d59m24s', '116d34m5s'] ['38d59m24s', '116d30m34s'] 2531
95 22 ['39d2m6s', '116d37m36s'] ['39d2m6s', '116d34m5s'] ['38d59m24s', '116d37m36s'] ['38d59m24s', '116d34m5s'] 2286
96 22 ['39d2m6s', '116d41m7s'] ['39d2m6s', '116d37m36s'] ['38d59m24s', '116d41m7s'] ['38d59m24s', '116d37m36s'] 2214
97 22 ['39d2m6s', '116d44m38s'] ['39d2m6s', '116d41m7s'] ['38d59m24s', '116d44m38s'] ['38d59m24s', '116d41m7s'] 2552
98 22 ['39d2m6s', '116d48m9s'] ['39d2m6s', '116d44m38s'] ['38d59m24s', '116d48m9s'] ['38d59m24s', '116d44m38s'] 3186
